dataset,subject,Age,Sex,ERQReappraisal,ERQSuppression,strategy1_reappraise_yn_final,strategy1_best_fit_final,reg_rating,look_neg_rating,look_neu_rating,reg_success,emotion_reactivity
AHAB,133,41.027397260274,1,32,17,1,3,3.26666666666667,3.33333333333333,1.26666666666667,0.0666666666666598,2.06666666666666
AHAB,134,44.3616438356164,-1,31,17,1,8,3.57142857142857,3.86666666666667,1,0.2952380952381,2.86666666666667
AHAB,135,44.3068493150685,-1,27,17,1,1,2.92307692307692,3.86666666666667,1.06666666666667,0.94358974358975,2.8
AHAB,136,46.7205479452055,1,34,16,1,1,3.84615384615385,3.5,2,-0.34615384615385,1.5
AHAB,137,46.1616438356164,1,30,14,1,8,3,4.27272727272727,1,1.27272727272727,3.27272727272727
AHAB,138,44.3753424657534,1,29,20,1,5,2.2,2.07142857142857,1,-0.12857142857143,1.07142857142857
AHAB,139,51.2,1,35,17,1,2,2.61538461538462,3.81818181818182,1.07142857142857,1.2027972027972,2.74675324675325
AHAB,140,34.1452054794521,-1,34,23,1,3,3.57142857142857,3.64285714285714,1.21428571428571,0.0714285714285703,2.42857142857143
AHAB,141,35.9123287671233,-1,34,15,1,3,1.64285714285714,1.46666666666667,1,-0.17619047619047,0.46666666666667
AHAB,142,48.1397260273973,-1,26,25,1,4,2.46153846153846,2.6,1.13333333333333,0.13846153846154,1.46666666666667
AHAB,143,32.0821917808219,1,26,13,1,8,2,2.33333333333333,1,0.33333333333333,1.33333333333333
AHAB,144,39.2356164383562,1,,,1,2,2.26666666666667,3.78571428571429,1.14285714285714,1.51904761904762,2.64285714285715
AHAB,145,45.041095890411,-1,31,19,1,3,2.5,3,1,0.5,2
AHAB,146,49.5890410958904,1,27,11,1,1,3.26666666666667,3.42857142857143,1,0.16190476190476,2.42857142857143
AHAB,147,43.9287671232877,1,30,17,1,8,3.07142857142857,3.8,1.30769230769231,0.72857142857143,2.49230769230769
AHAB,148,50.4657534246575,1,18,15,1,1,3,3.42857142857143,2.8,0.42857142857143,0.62857142857143
AHAB,149,36.3205479452055,1,32,4,1,2,3.8,4.66666666666667,1,0.86666666666667,3.66666666666667
AHAB,150,50.1671232876712,-1,31,18,1,1,2.92307692307692,3.84615384615385,1.07142857142857,0.92307692307693,2.77472527472528
AHAB,151,52.9561643835616,1,23,14,1,2,1.78571428571429,1.84615384615385,1,0.06043956043956,0.84615384615385
AHAB,152,34.0547945205479,1,30,15,1,1,3.93333333333333,4.46666666666667,1.06666666666667,0.53333333333334,3.4
AHAB,153,51.2876712328767,1,28,18,1,2,2.53333333333333,4.4,1.07142857142857,1.86666666666667,3.32857142857143
AHAB,154,49.9671232876712,1,25,18,1,8,3.14285714285714,3.42857142857143,1,0.28571428571429,2.42857142857143
AHAB,155,39.786301369863,-1,29,18,1,1,2.57142857142857,3.4,1,0.82857142857143,2.4
AHAB,156,51.1616438356164,1,24,14,1,1,2.53846153846154,3,1,0.46153846153846,2
AHAB,157,47.2,-1,24,14,1,2,2.06666666666667,4.64285714285714,1.33333333333333,2.57619047619047,3.30952380952381
AHAB,158,45.5643835616438,-1,31,22,1,8,2.26666666666667,2.14285714285714,1,-0.12380952380953,1.14285714285714
